fid,UPRN,Site Name,Address,Easting,Northing,Ward,Lease Information,Site Function,Sub Function,Function Detail
"73","77137429",65 Plymouth Grove (adjacent land only),"65, Plymouth Grove,M13 9LU","385277","396462",Ardwick,Ground Leasehold,Non-Operational,Investment,Car Parking
"74","10023055281","Car Park, Thurloe Street","Car Park, Thurloe Street,M14 5SG","385238","395330",Rusholme,Unavailable,Non-Operational,Investment,Car Parking
"75","10090669782","Car Park, Conran Street","Car Park, Conran Street,M9 5PR","386024","401276",Harpurhey,Leasehold,Non-Operational,Investment,Car Parking
"76","10090668750","Car Park, Sawley Road","Car Park, Sawley Road,M40 8DF","385886","399695",Miles Platting & Newton Heath,Unavailable,Non-Operational,Investment,Car Parking
"77","10090668776",Car Park Rear Of 131 Ashton Old Road,"Car Park Rear Of 131 Ashton Old Road, Viaduct Street,","386110","397640",Ancoats & Beswick,Leasehold,Non-Operational,Investment,Car Parking
"78","77137531",3 Pittbrook Street,"3, Pittbrook Street,M12 6LT","385884","397347",Ardwick,Occupied by the local authority,Operational,Other,Car Parking
"79","10023052372",Car Parking Space 37 - 45 Devonshire Street North,"Car Parking Space 37 - 45, Devonshire Street,","385748","397185",Ardwick,Leasehold,Non-Operational,Investment,Car Parking
"80","10091144434",Car Park Next To Bensons Skip Hire,"Car Park Next To Bensons Skip Hire, Beckford Street,M40 5AE","386324","400143",Miles Platting & Newton Heath,Ground Leasehold,Non-Operational,Investment,Car Parking
"81","77156855",2 Rowsley Street,"2, Rowsley Street,M11 3FF","386501","398509",Ancoats & Beswick,Leasehold,Non-Operational,Investment,Car Parking
"82","10023047738",Car Park Ebsworth Street,"Car Park, Ebsworth Street,M40 9WD","387030","401880",Moston,Unavailable,Non-Operational,Investment,Car Parking
"83","10093075671",Land at Thorp Road,"Land at, Thorp Road,","387093","400726",Harpurhey,Leasehold,Non-Operational,Investment,Car Parking
"84","77020877","Holiday Inn, 888 Oldham Road (Car Parking Only)","888, Oldham Road,M40 2BS","386733","400212",Miles Platting & Newton Heath,Leasehold,Non-Operational,Investment,Car Parking
"85","10090668212",Land Between Wedgewood Street And Clifton Street,"Land Between Wedgewood Street And Clifton Street, Lord North Street,","386683","399673",Miles Platting & Newton Heath,Leasehold,Non-Operational,Investment,Car Parking
"86","10070866055",Land Between Joe Mercer Way and Alan Turing Way,"Land Between, Joe Mercer Way and Alan Turing Way,","386794","398860",Ancoats & Beswick,Leasehold,Non-Operational,Investment,Car Parking
"87","10094703592",Car Park Behind Jenkyn Walk at Newcombe Close,"Car Park Behind Jenkyn Walk, Newcombe Close,","386938","398287",Ancoats & Beswick,Unavailable,Non-Operational,Other,Car Parking
"88","10091146545",Odell Street Car Park,"Odell Street Car Park, Odell Street,","387649","397434",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"89","10091143479",Land Used For Car Parking At Junction Gorebrook Court Pink Bank Lane,"Land Used For Car Parking At Junction Gorebrook Court, Pink Bank Lane,M12 5UZ","387471","395685",Longsight,Leasehold,Non-Operational,Investment,Car Parking
"90","10091143465",Land Between Junctions Crowcroft Road And Slade Hall Road Stockport Road,"Land Between Junctions Crowcroft Road And Slade Hall Road, Stockport Road,M12 4GD","387204","394965",Longsight,Leasehold,Non-Operational,Investment,Car Parking
"91","10091144693",Former Properties 1 And 3 Woodfold Avenue,"Land to The Rear of 828 to 834 Stockport Road, Woodfold Avenue,M19 3AP","387333","394571",Levenshulme,Unavailable,Non-Operational,Other,Car Parking
"92","77040465",International House (land adjacent only),"30, Holyoak Street,M40 1HB","388139","400643",Miles Platting & Newton Heath,Leasehold,Non-Operational,Investment,Car Parking
"93","10091146393",land at Aintree Street,"Land at, Aintree Street,","387846","398453",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"94","10091143789",Land at Welcomb Street,"Land Between Whitworth Street And Ashton Old Road Upto Reby Street, Welcomb Street,M11 2NP","387887","397414",Clayton & Openshaw,Ground Leasehold,Non-Operational,Investment,Car Parking
"95","10091144704",Car Park Adjacent Storey Carpets 1350 Droylsden Road,"Car Park Adjacent 1350, Oldham Road, Droylsden Road,M40 1HU","388199","400678",Miles Platting & Newton Heath,Leasehold,Non-Operational,Investment,Car Parking
"96","10093075251","Land at Stokes Street, Manchester","Land At, Stokes Street,","388668","398297",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"97","10090670000",Land At Junction Cornwall Street Adjacent Unit 1 Whitworth Street East,"Land At Junction Cornwall Street Adjacent Unit 1, Whitworth Street East,M11 2NQ","388557","397352",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"98","10091142416","Land Between The Vulcan Pub And Earlswood Walk, Gorton Lane","Land Between The Vulcan Pub And Earlswood Walk, Gorton Lane,","388427","396652",Gorton & Abbey Hey,Ground Leasehold,Non-Operational,Investment,Car Parking
"99","77035056",Land Adj To 334 Droylsden Road,"Land Adj To 334 Droylsden Road, (Former No's 328, 330 And 332), M40 1GF","388848","400105",Miles Platting & Newton Heath,Unavailable,Non-Operational,Investment,Car Parking
"100","10023059667",Foresters Arms,"Foresters Arms, Ashton Old Road,M11 1JJ","389178","397346",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"101","10091144700",Car Park To Rear Of 1121 Ashton Old Road,"Car Park to rear of 1121Ashton Old Road, Louisa Street,M11 1AA","388696","397486",Clayton & Openshaw,Leasehold,Non-Operational,Investment,Car Parking
"102","77176169",Angel Inn (adjacent car park only)," Wellington Street,M18 8TX","388707","396362",Gorton & Abbey Hey,Leasehold,Non-Operational,Investment,Car Parking
"103","10093073907",Land Adj Abbey Court Hollybush Street,"Land Adj Abbey Court Hollybush Street, ","389074","396553",Gorton & Abbey Hey,Unavailable,Non-Operational,Investment,Car Parking
"104","10093074995",Land at Ashkirk Street,"Land At, Ashkirk Street,","388765","396299",Gorton & Abbey Hey,Unavailable,Non-Operational,Investment,Car Parking
"105","10090423929",Vale Cottage Inn,"1, Croft Bank,M18 8WH","389026","396016",Gorton & Abbey Hey,Leasehold,Non-Operational,Investment,Car Parking
"106","10023061659",Edge Lane Business Park,"Edge Lane Business Park, Edge Lane,M11 1DG","389303","397661",Clayton & Openshaw,Ground Leasehold,Non-Operational,Investment,Car Parking
"107","10091145341",Land Adjacent To Surgery Ashton Old Road,"Car Park Adjacent To Surgery, Ashton Old Road,M11 1JG","389440","397334",Clayton & Openshaw,Unavailable,Non-Operational,Investment,Car Parking
"108","10093075475",Car Park At Erin Street,"Land At, Erin Street,","389189","397328",Clayton & Openshaw,Unavailable,Non-Operational,Investment,Car Parking
"109","10090669816",Car Park At Junction Of Victor Mann Street,"Car Park At Junction Of Victor Mann Street, Ashton Old Road,","390036","397365",Clayton & Openshaw,Ground Leasehold,Non-Operational,Investment,Car Parking
