fid,id,left,top,right,bottom,name,latitude,longitude,latitude_touch
"179","179",387181.7767,398134.6219,387681.7767,397634.6219,,,,
"180","180",387181.7767,397634.6219,387681.7767,397134.6219,,,,53.46900200
"181","181",387181.7767,397134.6219,387681.7767,396634.6219,,,,53.46900200
"182","182",387181.7767,396634.6219,387681.7767,396134.6219,,,,53.46900200
"183","183",387181.7767,396134.6219,387681.7767,395634.6219,,,,
"184","184",387181.7767,395634.6219,387681.7767,395134.6219,,,,
"185","185",387181.7767,395134.6219,387681.7767,394634.6219,,,,
"186","186",387181.7767,394634.6219,387681.7767,394134.6219,,,,
"187","187",387181.7767,394134.6219,387681.7767,393634.6219,,,,
"188","188",387681.7767,402134.6219,388181.7767,401634.6219,,,,
"189","189",387681.7767,401634.6219,388181.7767,401134.6219,,,,
"190","190",387681.7767,401134.6219,388181.7767,400634.6219,,,,
"191","191",387681.7767,400634.6219,388181.7767,400134.6219,,,,
"192","192",387681.7767,400134.6219,388181.7767,399634.6219,,,,
"193","193",387681.7767,399634.6219,388181.7767,399134.6219,,,,53.48581700
"194","194",387681.7767,399134.6219,388181.7767,398634.6219,,,,53.48581700
"195","195",387681.7767,398634.6219,388181.7767,398134.6219,,,,53.48581700
"196","196",387681.7767,398134.6219,388181.7767,397634.6219,,,,
"197","197",387681.7767,397634.6219,388181.7767,397134.6219,,,,
"198","198",387681.7767,397134.6219,388181.7767,396634.6219,,,,53.46220350
"199","199",387681.7767,396634.6219,388181.7767,396134.6219,,,,53.46220350
"200","200",387681.7767,396134.6219,388181.7767,395634.6219,,,,53.46220350
"201","201",387681.7767,395634.6219,388181.7767,395134.6219,,,,
"202","202",387681.7767,395134.6219,388181.7767,394634.6219,,,,
"203","203",387681.7767,394634.6219,388181.7767,394134.6219,,,,
"204","204",387681.7767,394134.6219,388181.7767,393634.6219,,,,
"205","205",388181.7767,402134.6219,388681.7767,401634.6219,,,,
"206","206",388181.7767,401634.6219,388681.7767,401134.6219,,,,
"207","207",388181.7767,401134.6219,388681.7767,400634.6219,,,,
"208","208",388181.7767,400634.6219,388681.7767,400134.6219,,,,
"209","209",388181.7767,400134.6219,388681.7767,399634.6219,,,,
"210","210",388181.7767,399634.6219,388681.7767,399134.6219,,,,
"211","211",388181.7767,399134.6219,388681.7767,398634.6219,,,,
"212","212",388181.7767,398634.6219,388681.7767,398134.6219,,,,
"213","213",388181.7767,398134.6219,388681.7767,397634.6219,,,,53.47359700
"214","214",388181.7767,397634.6219,388681.7767,397134.6219,,,,53.47359700
"215","215",388181.7767,397134.6219,388681.7767,396634.6219,,,,53.46600133
"217","217",388181.7767,396134.6219,388681.7767,395634.6219,,,,53.46220350
"218","218",388181.7767,395634.6219,388681.7767,395134.6219,,,,
"219","219",388181.7767,395134.6219,388681.7767,394634.6219,,,,
"220","220",388181.7767,394634.6219,388681.7767,394134.6219,,,,
"221","221",388181.7767,394134.6219,388681.7767,393634.6219,,,,
"222","222",388681.7767,402134.6219,389181.7767,401634.6219,,,,53.50888500
"223","223",388681.7767,401634.6219,389181.7767,401134.6219,,,,53.50888500
"224","224",388681.7767,401134.6219,389181.7767,400634.6219,,,,53.50888500
"225","225",388681.7767,400634.6219,389181.7767,400134.6219,,,,
"226","226",388681.7767,400134.6219,389181.7767,399634.6219,,,,
"227","227",388681.7767,399634.6219,389181.7767,399134.6219,,,,
"228","228",388681.7767,399134.6219,389181.7767,398634.6219,,,,
"229","229",388681.7767,398634.6219,389181.7767,398134.6219,,,,
"230","230",388681.7767,398134.6219,389181.7767,397634.6219,,,,53.47359700
"232","232",388681.7767,397134.6219,389181.7767,396634.6219,,,,53.46600133
"233","233",388681.7767,396634.6219,389181.7767,396134.6219,,,,53.46220350
"234","234",388681.7767,396134.6219,389181.7767,395634.6219,,,,53.46220350
"235","235",388681.7767,395634.6219,389181.7767,395134.6219,,,,
"236","236",388681.7767,395134.6219,389181.7767,394634.6219,,,,
"237","237",388681.7767,394634.6219,389181.7767,394134.6219,,,,
"238","238",388681.7767,394134.6219,389181.7767,393634.6219,,,,
"239","239",389181.7767,402134.6219,389681.7767,401634.6219,,,,53.50888500
"241","241",389181.7767,401134.6219,389681.7767,400634.6219,,,,53.50888500
"242","242",389181.7767,400634.6219,389681.7767,400134.6219,,,,
"243","243",389181.7767,400134.6219,389681.7767,399634.6219,,,,
"244","244",389181.7767,399634.6219,389681.7767,399134.6219,,,,
"245","245",389181.7767,399134.6219,389681.7767,398634.6219,,,,
"246","246",389181.7767,398634.6219,389681.7767,398134.6219,,,,
"247","247",389181.7767,398134.6219,389681.7767,397634.6219,,,,53.47359700
"248","248",389181.7767,397634.6219,389681.7767,397134.6219,,,,53.47359700
"249","249",389181.7767,397134.6219,389681.7767,396634.6219,,,,53.47359700
"250","250",389181.7767,396634.6219,389681.7767,396134.6219,,,,
"251","251",389181.7767,396134.6219,389681.7767,395634.6219,,,,
"252","252",389181.7767,395634.6219,389681.7767,395134.6219,,,,
"253","253",389181.7767,395134.6219,389681.7767,394634.6219,,,,
"254","254",389181.7767,394634.6219,389681.7767,394134.6219,,,,
"255","255",389181.7767,394134.6219,389681.7767,393634.6219,,,,
"256","256",389681.7767,402134.6219,390181.7767,401634.6219,,,,53.50888500
"257","257",389681.7767,401634.6219,390181.7767,401134.6219,,,,53.50888500
"258","258",389681.7767,401134.6219,390181.7767,400634.6219,,,,53.50888500
"259","259",389681.7767,400634.6219,390181.7767,400134.6219,,,,
"260","260",389681.7767,400134.6219,390181.7767,399634.6219,,,,
"261","261",389681.7767,399634.6219,390181.7767,399134.6219,,,,
"262","262",389681.7767,399134.6219,390181.7767,398634.6219,,,,
"263","263",389681.7767,398634.6219,390181.7767,398134.6219,,,,
"264","264",389681.7767,398134.6219,390181.7767,397634.6219,,,,
"265","265",389681.7767,397634.6219,390181.7767,397134.6219,,,,
"266","266",389681.7767,397134.6219,390181.7767,396634.6219,,,,
"267","267",389681.7767,396634.6219,390181.7767,396134.6219,,,,
"268","268",389681.7767,396134.6219,390181.7767,395634.6219,,,,
"269","269",389681.7767,395634.6219,390181.7767,395134.6219,,,,
"270","270",389681.7767,395134.6219,390181.7767,394634.6219,,,,
"271","271",389681.7767,394634.6219,390181.7767,394134.6219,,,,
"272","272",389681.7767,394134.6219,390181.7767,393634.6219,,,,
